cancel  v.删去,取消
habitat  n.自然环境,栖息地
egg  n.鸡蛋
hardheaded  adj.(商业上)现实的,精明的
mayhem  n.严重伤害罪
year  n.年
awful  a.可怕的;糟糕的;极度的
sacrament  n.圣礼,圣事
branch  n.分支
anguish  n.极大痛苦
chimera  n.神话怪物；梦幻
regionalize  v.使区域化
refraction  n.折射
oscillation  n.摆动，振动
neat  a.整洁的;雅致的;灵巧的;纯的;不掺水的
understanding  n.理解，理解力；谅解a.了解的，通情达理的
near  a.不远；亲近的
silence  n.寂静；沉默
fairy  a.幻想中的；虚构的；优雅的n.仙女；精灵
hermit  n.隐士,修道者
ragged  adj.破烂的
sanctuary  n.圣堂,避难所
inviting  adj.诱人的,引人入胜的
snobbery  n.势利
proportional  a.比例的；相称的
economy  n.节约；经济
ailment  n.疾病
community  n.同一地区的全体居民，社会，社区；共同体
packet  n.小包裹，小捆；盒；一捆，一扎；邮船，班轮
version  n.版本；译本，译文；说法
coeval  adj.同年代的
stop  v.&n.停止
flirt  v.挑逗,调戏
retroactive  adj.可追溯的,反动的
sinecure  n.挂名差事,闲职
despotic  adj.专横的,暴虐的
discomfit  v.使懊恼、难堪
prudence  n.谨慎
stow  v.装载，理舱
exhale  v.呼出(气)
insoluble  adj.不溶解的;不能解决
immediately  ad.立即；直接地
abrasion  n.表面磨损
cede  v.割让(土地权利),放弃
insolvent  a.无偿债能力的
submarine  n.潜水艇a.水底的，海底的
obelisk  n.方尖碑
catastrophic  adj.灾难性的
boldness  n.胆略
clannish  adj.排他的,门户之见的
stump  n.树桩，残茬,参与部分,残肢v.僵硬地走,使为难
misrepresentation  n.歪曲
musician  n.音乐家，乐师
perceptive  adj.感觉敏锐的
cultivated  a.耕种的，栽植的；有修养的
neck  n.脖子
logical  a.逻辑的，符合逻辑的
characterize  v.表示…的特性；描述…特性
stunt  v.阻碍(成长);n.特技,绝技
ridiculous  a.可笑的,荒谬的
wraith  n.幽灵；骨瘦如柴的人
severe  a.严厉的,严重的,剧烈的
immoderate  adj.无节制的,过度的
communism  n.共产主义
brandy  n.白兰地酒
evidence  n.明显；显著；根据；证据；迹象
errand  n.差使,差事
amity  n.(人或国之间的)友好关系
garnish  v.装饰
fling  v./n.掷,抛;猛烈地移动;投入
stun  v.使昏迷,使发愣
woeful  adj.悲伤的
mollify  v.安慰,安抚
cottage  n.村舍，小屋，别墅
unmoved  adj.无动于衷的,冷漠的;镇定的
serpent  n.蛇(尤指大蛇或毒蛇)
kindle  v.点燃,引起,激发
melon  n.甜瓜
faint  vi.晕倒
minister  n.部长；大臣
need  v.&n.需要
elm  n.榆树
shrew  n.悍妇,泼妇
shoemaker  n.鞋匠
typewriter  n.打字机
kindly  adv.仁慈地，好心地
cephalic  adj.头,头部的
nefarious  adj.违法的,邪恶的
mettlesome  adj.精神抖擞的
errant  adj.错误的,脱离正途的
loose  v.解放；放纵；开火
ejection  n.喷射
flint  n.打火石,燧石
loathsome  adj.令人作呕的
hardly  ad.几乎不
lasting  adj.持久的，持续的
metaphysical  a.形而上学的，玄学的
rigidity  adj.僵硬，严厉，死板
narcotic  n.催眠药；adj.催眠的
paucity  n.小量,缺乏
precisely  adv.精确地,恰好,正是,确实
strand  n.(绳)股，缕
deathly  adj.致死的
constituent  a.有选举权的;组成的;n.选民;成分
meretricious  adj.华而不实的,俗艳的
end  n.尽头；末端
antonymous  adj.反义的
stroller  n.散步者
packed  adj.充满人的,拥挤的
forty  num.四十
preoccupation  n.全神贯注;使人专注的东西
pageant  n.壮观的游行；露天历史剧
aplomb  n.沉着,镇静
slippers  拖鞋
impermeability  n.不能渗透
slippery  a.滑的，滑溜的
forum  n.论坛
contempt  n.轻蔑,不尊敬,轻视
vouch  v.担保
pulpit  n.讲坛
fulminate  v.猛烈抨击,严厉谴责
figurative  adj.比喻的，修饰的
betray  vt.背叛,泄漏,暴露,表现
pronounce  v.发…的音；宣布，宣判
apropos  adj./adv.适宜的/地;有关
reproduction  n.再生(产)；繁殖
decorate  vt.装饰;油漆;授勋
discretionary  a.自由决定的
gutless  adj.没有勇气,懦怯的
education  n.教育
occupation  n.占领，占据；占用；职业，工作
slacken  v.(使)松弛,放松
liberate  vt.解放，释放
gangster  n.匪徒，歹徒，暴徒
gradually  ad.逐渐地，逐步地
aspire  v.向往，有志于
outbreak  n.爆发
abrasive  a.磨损的；生硬粗暴的
fleeting  adj.短暂的,飞逝的
seventy  num.七十
momentous  a.重要的,重大的
allegiance  n.忠诚,拥护
forte  n.长处,擅长；adj.(音乐)强音的
forth  ad.向前；向外，往外
leopard  n.豹
seventh  num.第七；七分之一
supercilious  adj.目中无人的
erstwhile  adj.从前的,过去的
debility  n.衰弱,虚弱
malediction  n.诅咒
cell  n.细胞；小房间；蜂房；电池
valid  a.有效的；有根据的；正当的
filings  n.锉屑
era  n.时代，年代，阶段，纪元
vacillate  v.游移不定,踌躇
cataclysm  n.剧变,灾难(常指大洪水或地震)
elucidate  v.阐明,说明
antarctic  adj.南极的
elope  v.私奔
thoroughly  adv.充分地，彻底地
err  v.犯错误
television  n.电视(=TV)
showpiece  n.陈列品,精品
brother-in-law  n.姻兄(弟)
dispel  v.驱散
nonesuch  n.无匹敌的人
awfully  ad.令人畏惧的；很
hemorrhage  n.出血(尤指大出血)
cent  n.分
spice  n.香料，调味品；香气
screed  n.冗长的演说,长篇大论的文章
screen  n.屏幕，屏风；帘v.掩蔽，包庇；筛选
pedagogy  n.教育学,教学法
autonomous  adj.自治的
vibration  n.颤动，振动；摆动
trial  n.试验,试用;审讯,受审
psychosis  n.精神病,变态心理
perception  n.感觉；概念；理解力
saturation  n.饱和(状态)；浸透
undertake  vt.承担;同意,答应
bridle  n.笼子；束缚vt.抑制
libellous  adj.诽谤的
entrance  n.入口，门口；进入；入学，入会vt.使某人(着魔般)狂喜,着迷
moist  a.(表面)潮湿的,湿润的
motley  adj.混杂的；杂色的
alphabetical  adj.按字母表顺序的
charlatan  n.江湖郎中,骗子
below  prep.在…下面
woods  n.树林
anticipatory  a.预想的，预期的
estate  n.房地产,财产
acoustic  adj.听觉的,有关声音的
articulate  v.清楚说话；接合
gastronomy  n.美食法
spicy  a.加很多香料的；(口味)浓郁的
traverse  vt.横越,穿过
rigorous  a.严格的，严厉的，严酷的，严密的，严谨的
foretell  v.预告，预言
yell  vi.大叫；呼喊vt.叫着说n.叫声；喊声
nightingale  n.夜莺
tribe  n.种族，部落；(植物，动物)族，类
secular  adj.世俗的,尘世的
effete  adj.无生产力的；虚弱的
therefor  ad.因此；为此
amusement  n.娱乐，消遣，乐趣
infatuated  adj.迷恋(人)的
ferocity  n.凶猛,残暴
trick  n.诡计vt.欺骗
plaudit  v.喝彩,赞扬
demoralize  v.使士气低落
harden  v.(使)变硬
grunt  vi.作呼噜声；咕哝
eve  n.(节日等的)前夜，前夕
tousle  v.弄乱(头发)
gusher  n.滔滔不绝的说话者；喷油井
memorize  v.记住，记忆
flick  n./v.轻打,轻弹
France  n.法国，法兰西
render  vt.提供,报答;表演,演奏;翻译
stratosphere  n.平流层,同温层
raincoat  n.雨衣
unmitigated  a.未缓和的，未减轻的，全然的
endeavor  v./n.努力，尽力，力图
adjacent  a.邻接的,邻近的
indignity  n.侮辱,轻蔑;侮辱性的言行
ewe  n.母羊(femalesheep)
chord  n.和弦,和音
chore  n.家务琐事;讨厌的工作
appetite  n.食欲
needle  n.针，指针，针状物
revolve  vt./vi.使旋转,使绕转
axiom  n.公理；定理
summon  vt.召唤,传唤;鼓起,聚集
talkative  adj.罗嗦的
hawser  n.粗绳,大钢索
expertise  n.专门知识,专门技能
annihilate  v.消灭
feckless  adj.无目标无计划的
rabid  adj.患狂犬病的；失去理性的
palatial  adj.宫殿般的；宏伟的
conclusive  adj.结束的，结论性的
convocation  n.召集,会议
encompass  v.包围、围绕
remain  v.保持；逗留
sustenance  n.食物,粮食；生计
eye  n.眼睛
himself  pron.他自己
envelope  n.信封，信皮；封套
glaring  adj.耀眼的,刺目的
mixer  n.混合者，搅拌器
fluctuation  n.波动；脉动；踌躇
deface  v.损坏
brackish  adj.(指水)略咸的,不好吃的
bearish  adj.熊市的
out-of-shape  adj.变样的,走样的
occult  adj.秘密的,不公开的
improvise  v.即席而作
default  vi./n.拖欠,违约;不出庭
knowledgeable  adj.博学的
gray  a.灰色的n.灰色(=grey)
tropic  n.回归线
beverage  n.饮料(汽水、茶、酒等)
diction  n.措辞
exaction  n.强求,勒索
backbone  n.脊梁骨
insane  a.疯狂的,愚蠢的
magician  n.魔法师；变戏法的人
trophy  n.奖品,战利品
stethoscope  n.听诊器
synergic  adj.协同作用的
triumph  n.凯旋,成功
frisky  adj.活泼的,快活的
horror  n.恐怖，战栗
gram  n.克
black  a.黑色的
nest  n.窝，巢v.筑巢
fortunate  a.幸运的；幸福的
such  a.这样的
exacting  adj.苛求的；要求严格的
classic  a.第一流的,最优秀的;传统的;n.文豪;古罗马、希腊作家;古典作品
embellish  v.装饰,润饰
outmaneuver  v.以策略制胜
retract  v.缩回,收回
describe  vt.描写
grab  v./n.攫取,抓取,掠夺
suck  n./v.吸;舔
gnawing  adj.痛苦的,折磨人的
presently  ad.一会儿，不久；现在，目前
wealthy  a.富有的，丰裕的，充分的n.富人，有钱人
foam  n./v.泡沫,起泡沫
pettish  adj.易怒的,使性子的
pulchritude  n.美丽
fatuous  adj.愚昧而不自知的
cocoon  n.茧
incomplete  a.不完全的，未完成的
furniture  n.家具；设备
huge  a.巨大的
pendulum  n.摆,钟摆
baroque  n./adj.(艺术、建筑等)过分雕琢的
reconstruct  v.重建,再建
duplicate  a.完全一样的,复制的;n.复制品,副本;vt.复写,复制
affable  adj.易于交谈的；和蔼的
unbridled  adj.放纵的
diatribe  n.(口头或书面猛烈的)抨击
museum  n.博物馆
eradicate  v.根除
gauche  adj.笨拙的,不会社交的
embarrassing  adj.令人尴尬的
trumpet  n.喇叭,喇叭声
installment  n.分期付款；(连载的)一期
clothing  n.服装，被褥
next  a.下一个
unitednations  n.联合国
occupy  vt.占,占用,占领;使忙碌,使从事
submit  v.(使)服从;提交
snatch  vt.夺,夺走;一下子拉,一把抓住;抓住机会做;vi.(at)一把抓住;n.片断
summit  n.顶点,高峰;峰会(最高级会谈)
button  n.纽扣，按钮(开关)v.扣紧；扣上纽扣
conclusion  n.结论，推论；结尾；缔结，议定
typist  n.打字员
admissible  adj.可容许的
inexplicit  adj.措词含糊的,表达不清的
trademark  n.商标；特征vt.注册的…商标
memorial  a.记忆的，纪念的n.纪念物，纪念碑，纪念馆
news  n.新闻
dumbfound  v.使...惊讶发愣
effectively  adv.有效地
barometer  n.气压计,晴雨表
grey  a.灰色的n.灰色
arable  adj.可耕的,适合种植的
sensation  n.感觉，知觉；激动，轰动，轰动一时的事情
brightness  n.明亮，辉煌，聪明
urban  a.城市的，市内的
dining-room  n.餐厅
stipple  v.点画,点描
window  n.窗；窗口
athletics  n.运动,体育
obverse  n./adj.正面(的)
play  v.做游戏n.游戏
flippant  adj.无礼的；轻率的
lowbred  adj.粗野的,鲁莽的
fad  n.(流行一时的)狂热,时尚
underwrite  v.同意负担...的费用;为...保险
mangle  v.毁损;撕成碎片,压碎
fag  v.苦干
synonymous  adj.同义的
fan  n.扇子，风扇；(影，球等)迷v.扇，扇动，激起
far  a.远的
miasma  n.瘴气,不健康的环境或影响
fat  a.肥的
deformation  n.损坏；变形；畸形
plan  n.&vt.计划
panegyric  n.颂词,颂扬
ambivalent  adj.(对人或物)有矛盾看法的
potentiality  n.潜在性
esoteric  adj.秘传的；神秘的
ruthlessness  n.无情,残忍
rendering  n.演出；翻译
comfortable  a.舒适的
tranquility  n.宁静,安静
suit  v.合适
completely  ad.十分，完全地
decontaminate  v.排除污染
browse  v.吃嫩叶或草；浏览
elated  adj.得意洋洋的,振奋的
study  v.&n.学习；研究
intensify  v.加剧
bomber  n.轰炸机
fever  n.发烧
pensive  adj.沉思的；愁眉苦脸的
piety  n.虔诚
supermarket  n.超级市场
retrogress  v.倒退,退化
flustered  adj.慌张的
tragic  a.悲剧的，悲惨的
physician  n.医生
burner  n.灯头，煤气头
sterilize  v.使不育,杀菌
dial  n.表面,钟面,拨号盘vt.打电话
grin  v./n.露齿而笑,咧嘴一笑
grip  v./n.紧握,抓紧,握力;柄;吸引
discursive  adj.散漫的,无层次的
tornado  n.飓风,龙卷风
corroborative  n.确证的
grit  n.沙粒；决心,勇气；v.下定决心,咬紧牙关
adjutant  n.(军队的)副官
biennial  adj.两年一次的
continuously  adv.连续不断地
peripatetic  adj.巡游的
staggering  adj.摇晃的;令人吃惊的
disembodied  adj.无实体的,空洞的
criticize  v.批评，评论
wanton  adj.无节制的,放纵的;顽皮的
pleased  adj.高兴的，乐意的
behold  v.目睹,看见
finalize  v.落实，定下来
hull  n.外壳，豆荚；薄膜
indebted  adj.感激的，感恩的
hulk  n.废船,船壳；笨重之人或物
economic  a.经济学的,经济的,便宜的
grim  a.严酷的;讨厌的;严厉的
stuff  n.原料;材料;素质,本质;东西,物品;vt.把…装满,塞进
booking  adj.定货
pharmaceutical  adj.制药的
retrace  v.回顾,追想
fee  n.费,报名费,会费
section  n.部分,零件;剖面,横断面,阶层
abnegate  v.克己,放弃
discontent  n.不满意
subservient  adj.恭顺的
malignant  adj.恶毒的,充满恨意的
provoke  vt.激怒;引起
few  a.很少
invariance  n.恒定性
foil  n.钝剑；箔,锡箔纸;v.阻挠
strain  n.拉紧,紧张,拉力;劳累,过分疲劳;vt./vi.尽量利用;拉紧;扭伤;过滤
hunt  v.&n.打猎
gruesome  adj.令人毛骨悚然的,恶心的
presenter  n.主持人
rapprochement  n.和好,和睦
repugnant  adj.令人厌恶的
flagellate  v.鞭打,鞭笞
plea  n.(法律)抗辩;恳求;请求,托词,口实
strait  n.海峡;困难,窘迫
choleric  adj.易怒的,暴躁的
absenteeism  n.旷课，旷工
nutrition  n.营养
opener  n.开罐器，起子
personally  adv.亲自，就个人而言
invigorate  v.鼓舞,激励
outside  n.外面
effect  n.结果；效果；影响；印象vt.招致；实现；达到
elementary  a.基本的,初级的
producer  n.生产者；舞台监督
hunk  n.大块(食物)
inhale  v.吸气
perceive  vt.察觉,发觉;理解
politics  n.政治
stigma  n.耻辱的标志,污点
pathology  n.病理学
volley  n.&v.齐射
crucial  adj.决定性的
viscid  adj.粘性的
actuarial  adj.(保险)精算的;保险计算的
faith  n.信任,信仰
generator  n.发电机，发生器
remark  n.(about，on)评语，意见v.(on)评论；注意到
candidate  n.候选人,应试人
cognizant  adj.知道的,认识的
intelligible  adj.可了解的,清晰的
structural  a.结构的,构造的
malady  n.病
peanut  n.花生
diet  n./vi.饮食,规定的饮食,忌食
lawyer  n.律师
dissimulate  v.隐藏、掩饰
butter  n.黄油
rebate  n.回扣，折扣,退税
agglomerate  v.凝聚,结块
bewilder  vt.迷惑,为难
kerosene  n.煤油
inconstancy  n.(指人)反复无常
sorcery  n.巫术,魔法
posterity  n.子孙，后代
defame  v.诽谤,中伤
fulfillment  n.完成，成就
apothegm  n.格言,警句
extent  n.广度，宽度，长度；程度，限度
fig  n.无花果
overextend  v.使承担过多的义务
greeting  n.问候，致敬
fir  n.裘皮
intermediary  n.仲裁者；中间物；a.中间的，媒介的
fond  a.喜爱的
fit  v.适合
hush  n.沉默int.嘘！
fix  v.固定n.方位
husk  n.外壳；皮,荚
periphrastic  adj.迂回的,冗赘的
honest  a.诚实的
assumption  n.假定，设想；采取；承担；推测；假装
pension  n./vt.养老金,退休金;给予养老金
addition  n.加；加起来
overcharge  v.&n.多收(的)钱
sure  a.对…有把握
ad  n.广告
grow  v.生长，成长；渐渐变成；栽培，种植；发展
shrink  vt./vi.收缩;退缩,畏缩
supremacy  n.至高无上,霸权
locality  n.地区,地方
textile  n.纺织品a.纺织的
licentious  adj.纵欲的；放肆的
posterior  adj.(在时间、次序上)较后的
proceeding  n.行动，进行，(pl.)会议录，学报
an  art.一个
panic  n.惊慌,恐慌;vi.受惊,惊慌
shrine  n.神殿，神龛，圣祠
extend  v.伸出,延长;给予;扩大
fold  v.折叠；合拢；抱住n.褶，褶痕；羊栏；信徒
as  ad.同样地prep.当作；与…一样
at  prep.在
cuckoo  n.杜鹃，布谷鸟
genus  n.(动植物的)属
impervious  adj.不能渗透的；不为所动的
hurl  vt./n.猛掷,猛投;大声叫骂
